=== Sweep: 3 datasets × 4 strategies × 4 budgets = 48 runs ===


[1] ring | Baseline | b=0.0
  Epoch 020 | Loss 1.6923 | Val 0.2133 | Test 0.2133
  Epoch 040 | Loss 1.6846 | Val 0.2000 | Test 0.1333
  Epoch 060 | Loss 1.6781 | Val 0.1067 | Test 0.2933
  Epoch 080 | Loss 1.6762 | Val 0.1733 | Test 0.1200
  Epoch 100 | Loss 1.6884 | Val 0.2133 | Test 0.1867
  Epoch 120 | Loss 1.6512 | Val 0.2400 | Test 0.1467
  Epoch 140 | Loss 1.6597 | Val 0.1467 | Test 0.2400
  Epoch 160 | Loss 1.6583 | Val 0.2000 | Test 0.1333
  Epoch 180 | Loss 1.6817 | Val 0.2133 | Test 0.1067
  Epoch 200 | Loss 1.6638 | Val 0.1733 | Test 0.1200
  → acc=0.147 | MAD=0.188 | jac=0.0362 | E=20

[2] ring | Random | b=0.0
  Epoch 020 | Loss 1.6923 | Val 0.2133 | Test 0.2133
  Epoch 040 | Loss 1.6846 | Val 0.2000 | Test 0.1333
  Epoch 060 | Loss 1.6781 | Val 0.1067 | Test 0.2933
  Epoch 080 | Loss 1.6762 | Val 0.1733 | Test 0.1200
  Epoch 100 | Loss 1.6884 | Val 0.2133 | Test 0.1867
  Epoch 120 | Loss 1.6512 | Val 0.2400 | Test 0.1467
  Epoch 140 | Loss 1.6597 | Val 0.1467 | Test 0.2400
  Epoch 160 | Loss 1.6583 | Val 0.2000 | Test 0.1333
  Epoch 180 | Loss 1.6817 | Val 0.2133 | Test 0.1067
  Epoch 200 | Loss 1.6638 | Val 0.1733 | Test 0.1200
  → acc=0.147 | MAD=0.188 | jac=0.0362 | E=20

[3] ring | Random | b=0.25
  Epoch 020 | Loss 1.6593 | Val 0.1733 | Test 0.1600
  Epoch 040 | Loss 1.6588 | Val 0.2267 | Test 0.1333
  Epoch 060 | Loss 1.7414 | Val 0.1600 | Test 0.1733
  Epoch 080 | Loss 1.6752 | Val 0.1867 | Test 0.1333
  Epoch 100 | Loss 1.6775 | Val 0.2667 | Test 0.2133
  Epoch 120 | Loss 1.6709 | Val 0.2000 | Test 0.1333
  Epoch 140 | Loss 1.7320 | Val 0.1600 | Test 0.1600
  Epoch 160 | Loss 1.6465 | Val 0.2267 | Test 0.1200
  Epoch 180 | Loss 1.6956 | Val 0.2133 | Test 0.1600
  Epoch 200 | Loss 1.6403 | Val 0.2267 | Test 0.2400
  → acc=0.213 | MAD=0.341 | jac=0.0553 | E=25

[4] ring | Random | b=0.75
  Epoch 020 | Loss 1.4625 | Val 0.7733 | Test 0.7600
  Epoch 040 | Loss 1.4888 | Val 0.4800 | Test 0.4000
  Epoch 060 | Loss 1.4414 | Val 0.4933 | Test 0.3733
  Epoch 080 | Loss 1.5098 | Val 0.5600 | Test 0.5200
  Epoch 100 | Loss 1.4580 | Val 0.6133 | Test 0.5467
  Epoch 120 | Loss 1.4100 | Val 0.2933 | Test 0.2800
  Epoch 140 | Loss 1.4426 | Val 0.4800 | Test 0.3733
  Epoch 160 | Loss 1.5164 | Val 0.3333 | Test 0.2800
  Epoch 180 | Loss 1.4495 | Val 0.5067 | Test 0.4133
  Epoch 200 | Loss 1.4750 | Val 0.4000 | Test 0.3200
  → acc=0.760 | MAD=0.498 | jac=0.4051 | E=35

[5] ring | Random | b=1.5
  Epoch 020 | Loss 1.2425 | Val 0.7200 | Test 0.6667
  Epoch 040 | Loss 1.1810 | Val 0.6533 | Test 0.5600
  Epoch 060 | Loss 1.2057 | Val 0.6933 | Test 0.7333
  Epoch 080 | Loss 1.1615 | Val 0.8933 | Test 0.8267
  Epoch 100 | Loss 1.1406 | Val 0.9333 | Test 0.9333
  Epoch 120 | Loss 1.0865 | Val 0.6267 | Test 0.4933
  Epoch 140 | Loss 1.1077 | Val 0.8000 | Test 0.6667
  Epoch 160 | Loss 1.1427 | Val 0.9600 | Test 0.9200
  Epoch 180 | Loss 1.1244 | Val 0.7067 | Test 0.6267
  Epoch 200 | Loss 1.1526 | Val 0.9467 | Test 0.8933
  → acc=0.920 | MAD=0.225 | jac=0.5666 | E=50

[6] ring | K-hop | b=0.0
  Epoch 020 | Loss 1.6923 | Val 0.2133 | Test 0.2133
  Epoch 040 | Loss 1.6846 | Val 0.2000 | Test 0.1333
  Epoch 060 | Loss 1.6781 | Val 0.1067 | Test 0.2933
  Epoch 080 | Loss 1.6762 | Val 0.1733 | Test 0.1200
  Epoch 100 | Loss 1.6884 | Val 0.2133 | Test 0.1867
  Epoch 120 | Loss 1.6512 | Val 0.2400 | Test 0.1467
  Epoch 140 | Loss 1.6597 | Val 0.1467 | Test 0.2400
  Epoch 160 | Loss 1.6583 | Val 0.2000 | Test 0.1333
  Epoch 180 | Loss 1.6817 | Val 0.2133 | Test 0.1067
  Epoch 200 | Loss 1.6638 | Val 0.1733 | Test 0.1200
  → acc=0.147 | MAD=0.188 | jac=0.0362 | E=20

[7] ring | K-hop | b=0.25
  Epoch 020 | Loss 1.3908 | Val 0.6000 | Test 0.6533
  Epoch 040 | Loss 1.3563 | Val 0.5867 | Test 0.5733
  Epoch 060 | Loss 1.4081 | Val 0.6400 | Test 0.6667
