test_acc,mad,dirichlet,jacobian_mean,fidelity_plus,sparsity,num_nodes,num_edges,dataset,strategy,budget
0.14666666666666667,0.18844938278198242,0.11416952311992645,0.036215194314718244,-0.04929918050765991,0.875,20,20,ring,Baseline,0.0
0.14666666666666667,0.18844938278198242,0.11416952311992645,0.036215194314718244,-0.04929918050765991,0.875,20,20,ring,Random,0.0
0.21333333333333335,0.3407149910926819,0.8554571270942688,0.055265611835888455,-0.005562394857406616,0.8600000143051147,20,25,ring,Random,0.25
0.76,0.49837958812713623,4.926839828491211,0.40512730479240416,-0.15029799938201904,0.7142857313156128,20,35,ring,Random,0.75
0.92,0.2251487672328949,2.907442331314087,0.566627045472463,0.20470136404037476,0.8100000023841858,20,50,ring,Random,1.5
0.14666666666666667,0.18844938278198242,0.11416952311992645,0.036215194314718244,-0.04929918050765991,0.875,20,20,ring,K-hop,0.0
0.72,0.30914902687072754,5.026604175567627,1.0759560108184814,0.2601855993270874,0.800000011920929,20,25,ring,K-hop,0.25
1.0,0.26736533641815186,1.5502432584762573,0.12271452397108078,0.312515027821064,0.7857142686843872,20,35,ring,K-hop,0.75
0.9866666666666667,0.18775802850723267,2.4881162643432617,1.439266276359558,0.47121288627386093,0.7699999809265137,20,50,ring,K-hop,1.5
0.14666666666666667,0.18844938278198242,0.11416952311992645,0.036215194314718244,-0.04929918050765991,0.875,20,20,ring,FeatureSim,0.0
0.2,0.3285582363605499,0.20810584723949432,0.05070161400362849,0.016077473759651184,0.9399999976158142,20,25,ring,FeatureSim,0.25
0.7466666666666667,0.3908824324607849,1.0955778360366821,0.42452856004238126,0.005540639162063599,0.7714285850524902,20,35,ring,FeatureSim,0.75
0.8266666666666667,0.33433425426483154,2.4589996337890625,0.5949949100613594,-0.02940213680267334,0.6499999761581421,20,50,ring,FeatureSim,1.5
0.832,0.6687245965003967,0.05006565526127815,7.4690937995910645,-0.022536638379096984,0.9992421269416809,2708,5278,cora,Baseline,0.0
0.834,0.6542873382568359,0.051056861877441406,4.783890247344971,0.10371990203857422,0.998427438735962,2708,5278,cora,Random,0.0
0.79,0.5999187231063843,0.07415096461772919,6.309216856956482,0.11703533977270127,0.9986660599708557,2708,6597,cora,Random,0.25
0.714,0.4651593863964081,0.08549075573682785,2.714255690574646,-0.14631284326314925,0.9984841823577881,2708,9236,cora,Random,0.75
0.646,0.3921559751033783,0.08752094209194183,2.5950305461883545,0.18283031247556208,0.9989617347717286,2708,13195,cora,Random,1.5
0.809,0.6010162234306335,0.04817163571715355,4.26289176940918,-0.01872220039367676,0.9987684726715088,2708,5278,cora,K-hop,0.0
0.815,0.6266710162162781,0.053401246666908264,8.392696857452393,0.07261426746845245,0.9984386920928955,2708,6597,cora,K-hop,0.25
0.781,0.6228505969047546,0.060816921293735504,6.489077806472778,0.04615870714187622,0.9987873554229736,2708,9236,cora,K-hop,0.75
0.745,0.585451066493988,0.08672109991312027,2.862733030319214,0.10619259476661683,0.9993558049201965,2708,13195,cora,K-hop,1.5
0.818,0.6641414165496826,0.048342857509851456,3.364574134349823,0.10080230832099915,0.9972148537635803,2708,5278,cora,FeatureSim,0.0
0.796,0.5823342800140381,0.09102024883031845,1.8512179374694824,-0.05251412391662598,0.9968470573425293,2708,6597,cora,FeatureSim,0.25
0.774,0.5710204839706421,0.13620930910110474,2.545495957136154,0.42886467799544337,0.9983542561531067,2708,9236,cora,FeatureSim,0.75
0.741,0.5165713429450989,0.15733762085437775,0.5906745418906212,0.23183014541864394,0.9988177180290222,2708,13195,cora,FeatureSim,1.5
0.797,0.20678789913654327,7.8867363929748535,0.589729368686676,0.0,0.0,75,722,mnist,Baseline,0.0
0.834,0.35311150550842285,9.988529205322266,1.0342475175857544,0.0,0.0,75,670,mnist,Random,0.0
0.726,0.10654508322477341,2.8144032955169678,0.8337206840515137,0.0,0.0,75,843,mnist,Random,0.25
0.727,0.0010745135368779302,0.11027807742357254,0.846937894821167,0.0,0.0,75,1368,mnist,Random,0.75
0.701,0.0016614082269370556,0.040668461471796036,2.5315048694610596,0.0,0.0,75,1657,mnist,Random,1.5
0.852,0.27215564250946045,14.809989929199219,1.0454621315002441,0.0,0.0,75,726,mnist,K-hop,0.0
0.803,0.08824096620082855,6.5904154777526855,1.6624178886413574,0.0,0.0,75,815,mnist,K-hop,0.25
0.782,0.0057755643501877785,0.5147724151611328,1.350989818572998,0.0,0.0,75,1234,mnist,K-hop,0.75
0.798,0.002353681018576026,0.5161100625991821,0.6825269460678101,0.0,0.0,75,1605,mnist,K-hop,1.5
0.81,0.3758504390716553,11.5140380859375,0.6130036115646362,0.0,0.0,75,682,mnist,FeatureSim,0.0
0.749,0.35911357402801514,13.131027221679688,0.9021148681640625,0.0,0.0,75,825,mnist,FeatureSim,0.25
0.814,0.28649038076400757,14.746724128723145,0.8806872367858887,0.0,0.0,75,1141,mnist,FeatureSim,0.75
0.778,0.041681379079818726,4.263618469238281,0.6517963409423828,0.0,0.0,75,1602,mnist,FeatureSim,1.5
0.14666666666666667,0.18844938278198242,0.11416952311992645,0.036215194314718244,-0.04929918050765991,0.875,20,20,ring,Baseline,0.25
0.14666666666666667,0.18844938278198242,0.11416952311992645,0.036215194314718244,-0.04929918050765991,0.875,20,20,ring,Baseline,0.75
0.14666666666666667,0.18844938278198242,0.11416952311992645,0.036215194314718244,-0.04929918050765991,0.875,20,20,ring,Baseline,1.5
0.832,0.6687245965003967,0.05006565526127815,7.4690937995910645,-0.022536638379096984,0.9992421269416809,2708,5278,cora,Baseline,0.25
0.832,0.6687245965003967,0.05006565526127815,7.4690937995910645,-0.022536638379096984,0.9992421269416809,2708,5278,cora,Baseline,0.75
0.832,0.6687245965003967,0.05006565526127815,7.4690937995910645,-0.022536638379096984,0.9992421269416809,2708,5278,cora,Baseline,1.5
0.797,0.20678789913654327,7.8867363929748535,0.589729368686676,0.0,0.0,75,722,mnist,Baseline,0.25
